index,specification
412,lenovo intel core i7 11th gen windows 11 home 512 gb 16 14 16000000
413,hp amd ryzen 7 quad core 3rd gen windows 10 home 512 gb 16 13.3 20000000
414,asus intel core i3 10th gen windows 10 home 256 gb 8 14 6000000
415,asus intel core i3 10th gen dos 4 gb 15.6 6000000
416,asus intel core i3 10th gen windows 10 home 256 gb 8 14 6000000
417,asus intel core i3 11th gen windows 10 home 256 gb 8 14 6000000
418,asus amd ryzen 7 octa core 5th gen windows 10 home 1 tb 16 gb 15.6 17000000
419,asus intel core i9 11th gen windows 10 1 tb 16 gb 15.6 26000000
420,hp windows 11 home 512 gb 8 15.6 11000000
421,hp intel core i3 11th gen chrome 256 gb 8 14 9000000
422,dell windows 10 8 gb 15.6 8000000
423,hp intel core i7 11th gen windows 10 pro 1 tb 16 gb 13.5 29000000
424,hp windows 11 home 1 tb 16 gb 15000000
425,hp windows 11 home 512 gb 16 13.3 12000000
426,hp windows 11 home 512 gb 16 15.6 15000000
427,hp intel core i5 11th gen windows 11 home 512 gb 8 10000000
428,hp intel core i7 11th gen windows 11 home 512 gb 16 16000000
429,hp intel core i5 11th gen chrome 256 gb 8 14 11000000
430,hp intel core i7 11th gen windows 10 home 1 tb 16 gb 16.1 32000000
431,hp windows 11 home 512 gb 8 15.6 13000000
432,hp intel core i5 11th gen windows 11 home 512 gb 8 14 11000000
433,hp intel core i5 11th gen windows 11 home 512 gb 16 14 12000000
434,dell windows 10 512 gb 8 18000000
435,hp intel core i5 11th gen windows 11 home 512 gb 8 11000000
436,asus windows 10 home 1 tb 16 gb 20000000
437,asus intel core i7 11th gen windows 10 home 256 gb 8 15.6 15000000
438,asus intel core i3 10th gen windows 10 home 4 gb 15.6 6000000
